billPassed,billFailed
HJ 4,SB 96
HJ 6,SB 98
HJ 7,SB 99
HJ 9,SB 100
HJ 10,SB 102
HJ 15,SB 108
HJ 17,SB 112
HJ 19,SB 114
HJ 20,SB 118
HJ 23,SB 119
HJ 26,SB 120
HJ 28,SB 122
HJ 29,SB 123
HJ 30,SB 125
HJ 31,SB 126
HJ 32,SB 127
HJ 34,SB 128
HJ 35,SB 129
HJ 40,SB 130
HJ 42,SB 131
HJ 44,SB 135
HJ 45,SB 136
HJ 47,SB 138
HJ 48,SB 139
HJ 50,SB 140
HJ 52,SB 141
HJ 53,SB 142
HJ 55,SB 145
HJ 56,SB 146
HJ 61,SB 150
HJ 62,SB 151
HJ 74,SB 152
HR 1,SB 153
HR 2,SB 155
HR 3,SB 156
HR 5,SB 157
HR 6,SB 158
SB 1,SB 159
SB 3,SB 160
SB 5,SB 164
SB 9,SB 167
SB 10,SB 169
SB 11,SB 171
SB 12,SB 173
SB 17,SB 176
SB 18,SB 179
SB 19,SB 180
SB 22,SB 185
SB 23,SB 186
SB 25,SB 187
SB 26,SB 188
SB 27,SB 189
SB 29,SB 192
SB 30,SB 195
SB 33,SB 196
SB 34,SB 197
SB 35,SB 199
SB 36,SB 202
SB 37,SB 203
SB 38,SB 204
SB 39,SB 205
SB 41,SB 207
SB 45,SB 209
SB 46,SB 210
SB 48,SB 215
SB 51,SB 216
SB 53,SB 219
SB 54,SB 220
SB 55,SB 222
SB 56,SB 225
SB 57,SB 229
SB 58,SB 230
SB 59,SB 231
SB 60,SB 234
SB 61,SB 239
SB 64,SB 240
SB 65,SB 244
SB 67,SB 250
SB 69,SB 254
SB 70,SB 255
SB 71,SB 258
SB 73,SB 259
SB 74,SB 263
SB 75,SB 266
SB 76,SB 267
SB 77,SB 268
SB 78,SB 269
SB 79,SB 270
SB 80,SB 272
SB 82,SB 273
SB 83,SB 274
SB 86,SB 277
SB 87,SB 281
SB 88,SB 283
SB 91,SB 284
SB 93,SB 285
SB 95,SB 287
SB 97,SB 290
SB 101,SB 291
SB 103,SB 292
SB 104,SB 293
SB 105,SB 294
SB 106,SB 295
SB 107,SB 298
SB 109,SB 299
SB 110,SB 304
SB 111,SB 307
SB 113,SB 308
SB 115,SB 312
SB 116,SB 313
SB 117,SB 314
SB 121,SB 318
SB 124,SB 321
SB 132,SB 322
SB 133,SB 323
SB 134,SB 324
SB 137,SB 325
SB 143,SB 327
SB 144,SB 329
SB 147,SB 331
SB 148,SB 332
SB 149,SB 334
SB 154,SB 336
SB 161,SB 340
SB 162,SB 343
SB 163,SB 345
SB 165,SB 346
SB 166,SB 349
SB 168,SB 351
SB 170,SB 352
SB 172,SB 353
SB 174,SB 354
SB 175,SB 356
SB 177,SB 358
SB 178,SB 359
SB 181,SB 363
SB 182,SB 367
SB 183,SB 370
SB 184,SB 371
SB 190,SB 372
SB 191,SB 374
SB 193,SB 376
SB 194,SB 377
SB 198,SB 378
SB 200,SB 379
SB 201,SB 381
SB 206,SB 382
SB 208,SB 383
SB 211,SB 384
SB 212,SB 385
SB 213,SB 386
SB 214,SB 387
SB 217,SB 388
SB 218,SB 389
SB 221,SB 391
SB 223,SB 394
SB 224,SB 395
SB 226,SB 396
SB 227,SB 397
SB 228,SB 399
SB 232,SB 400
SB 233,SB 401
SB 235,SB 403
SB 236,SB 405
SB 237,SB 406
SB 238,SB 407
SB 241,SB 408
SB 242,SB 410
SB 243,SB 411
SB 245,SB 415
SB 246,SB 416
SB 247,SB 417
SB 248,SB 418
SB 249,SB 419
SB 251,SB 420
SB 252,SB 421
SB 253,SB 422
SB 256,SB 423
SB 257,SB 424
SB 260,SB 425
SB 261,SB 427
SB 262,SB 431
SB 264,SB 432
SB 265,SB 434
SB 271,SB 436
SB 275,SB 437
SB 276,SB 438
SB 278,SB 439
SB 279,SB 443
SB 280,SB 445
SB 282,SB 448
SB 286,SB 450
SB 288,SB 451
SB 289,SB 452
SB 296,SB 453
SB 297,SB 454
SB 300,SB 455
SB 301,SB 459
SB 302,SB 460
SB 303,SB 461
SB 305,SB 462
SB 306,SB 463
SB 309,SB 465
SB 310,SB 467
SB 311,SB 469
SB 315,SB 470
SB 316,SB 472
SB 317,SB 473
SB 319,SB 474
SB 320,SB 475
SB 326,SB 476
SB 328,SB 477
SB 330,SB 478
SB 333,SB 479
SB 335,SB 480
SB 337,SB 481
SB 338,SB 483
SB 339,SB 484
SB 341,SB 485
SB 342,SB 489
SB 344,SB 491
SB 347,SB 494
SB 348,SB 496
SB 350,SB 499
SB 355,SB 500
SB 357,SB 501
SB 360,SB 502
SB 361,SB 504
SB 362,SB 505
SB 364,SB 506
SB 365,SB 507
SB 366,SB 509
SB 368,SB 510
SB 369,SB 512
SB 373,SB 513
SB 375,SB 515
SB 380,SB 517
SB 390,SB 519
SB 392,SB 521
SB 393,SB 522
SB 398,SB 523
SB 402,SB 525
SB 404,SB 526
SB 409,SB 527
SB 412,SB 528
SB 413,SB 529
SB 414,SB 530
SB 426,SB 531
SB 428,SB 533
SB 429,SB 536
SB 430,SB 537
SB 433,SB 538
SB 435,SB 539
SB 440,SB 540
SB 441,SB 541
SB 442,SB 543
SB 444,SB 546
SB 446,SB 547
SB 447,SB 548
SB 449,SB 549
SB 456,SB 551
SB 457,SB 554
SB 458,SB 556
SB 464,SB 557
SB 466,SB 558
SB 468,SB 559
SB 471,SB 561
SB 482,SB 562
SB 486,SB 563
SB 487,SB 565
SB 488,SB 566
SB 490,SJ 2
SB 492,SJ 4
SB 493,SJ 14
SB 495,SJ 15
SB 497,SJ 17
SB 498,SJ 22
SB 503,SJ 23
SB 508,SJ 24
